pitch#,type,locationX,locationY,velocity,strike,swing
1,1,303,137,88,false,false
2,4,368,465,78,false,false
3,1,239,135,89,false,false
4,1,396,140,88,false,false
5,3,121,91,73,false,false
6,1,239,331,87,true,true
7,1,398,348,86,true,true
8,1,452,221,86,false,true
9,4,267,526,76,false,false
10,1,466,507,89,false,false
11,1,338,349,89,true,true
12,3,237,379,76,true,true
13,4,375,386,77,true,true
14,3,381,80,70,false,false
15,1,339,406,89,true,false
16,4,449,362,77,false,true
17,1,463,541,89,false,false
18,3,295,527,72,false,true
19,3,465,414,78,false,false
20,1,435,526,88,false,false
21,1,340,377,89,true,true
22,3,411,514,71,true,true
23,1,404,250,86,true,false
24,4,367,542,77,false,false
25,1,180,354,89,true,false
26,3,437,156,77,false,false
27,1,389,319,88,true,true
28,4,369,519,79,false,false
29,1,398,420,88,true,true
30,3,386,368,78,true,true
31,1,408,373,88,true,false
32,4,389,530,79,false,false
33,1,459,470,87,false,false
34,1,422,397,88,true,true
35,3,440,527,72,false,false
36,4,439,461,78,false,false
37,1,427,351,88,true,true
38,1,440,496,88,false,false
39,1,426,420,88,true,true
40,4,292,472,78,false,true
41,1,458,300,89,false,true
42,3,436,252,76,false,false
43,4,421,308,77,true,true
44,1,407,367,89,true,false
45,1,194,466,86,true,true
46,1,167,126,74,false,false
47,1,145,446,87,false,false
48,3,298,436,78,true,true
49,4,313,235,75,true,true
50,1,305,487,85,false,false
51,1,185,208,86,true,true
52,4,328,502,76,false,false
53,1,326,471,87,false,false
54,3,139,239,74,false,false
55,1,327,151,88,true,true
56,3,176,280,76,true,false
57,4,298,353,73,true,true
